application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
bt-mz.A,144096002,350981688441,101471350026,61403368923,2516667349,1904858093261,516818756103,1305345932006,208288833618,77813211,1
,158875257,361825855093,107645441676,61965791275,3266604602,1170451492309,316160659790,682521301269,127708923339,41177905,2
,190212491,363037165761,108180706367,62192143350,3496524898,932911758422,242463836669,486032089233,119174514770,28719604,3
,237097267,376533606216,113967525145,64650856565,6121810242,857545974731,206724349975,392843948364,99322799682,23878056,4
,240407434,390476127943,119942733618,67186116810,8836537064,820997680664,184585998535,341533752441,86060714721,20711103,5
,294950947,439327597664,140869679613,76065252136,18354999656,916263504028,199571914672,355129333496,89276489257,21464909,6
,276280479,488296629925,161855094765,84969004786,27893758249,900640151977,196470779418,493923492431,88452667236,21389773,7
,273176155,526719159228,178309863123,91954195014,35378674364,874573883056,192298568725,555596984863,86629852294,20970134,8
,270998048,570474857339,197060906181,99909616752,43902643550,858372848510,188125686645,613547821044,85397247314,20725208,9
,287145388,611888872934,214805627963,107438512990,51969639845,851539642333,186585083007,678548049926,85021423339,20628855,10
,287266553,652564444479,232227300195,114832644762,59894522985,849754135131,185511306762,738470733642,84926406860,20580589,11
,287711224,697208652443,251359472316,122949150427,68590851356,850610427856,185669525146,803665008544,85254425048,20608792,12
application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
lu-mz.A,150600789,169129214825,51833782394,21093548336,1752977743,1026166244506,354892517089,1434436492919,258686203002,60244816,1
,155562183,180178339722,56285223417,21103824593,2195795797,890623886108,277686203002,543800033569,107958724975,32776488,2
,184911100,196072602887,63100667842,23999220839,5287364179,765768051147,211971908569,422224014282,104788162231,25176964,3
,239245527,180678326745,56509468445,21202447028,2285718841,618420974731,179521865844,302403503417,75896850585,18311553,4
,284021176,217518973259,72293899500,27903734424,9460145551,680615539550,182305374145,302329620361,76185043334,18369635,5
,310803606,200458493470,64979052925,24801301028,6136482884,591043182373,151907150268,247928359985,61338012695,14515130,6
,273071328,231108538735,78116704710,30377142363,12105405612,570544067382,144056869506,322844024658,58731170654,14254814,7
,251794772,187776949049,59541238758,22496533264,3663854744,399482818603,108211029052,257353546142,41447174072,10093403,8
,258112445,208259122253,68318491645,26223589742,7651400669,401538452148,108411819458,287895721435,41674163818,10119624,9
,261942107,227244247994,76445977018,29674234239,11350965582,398458663940,107932418823,315376022338,41094955444,10076004,10
,264015565,247498008044,85120441180,33355968424,15296865770,394621582031,105033264160,345276794433,44557815551,10063824,11
,276728282,259443724451,90237031975,35527702182,17623343851,387474349975,98170257568,371198623657,52143981933,9913369,12
application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
sp-mz.A,302309556,171584642986,52335783992,23664858626,4386623147,948609008789,315505157470,1286503997802,221552185058,53786084,1
,308972175,181078121408,61809521760,22312920491,4533925649,784960739135,240552230834,474388458251,109596359252,28680969,2
,326270950,195742005959,68097209387,24986722807,7384689313,685963668823,189988372802,377423538208,93627243041,22424574,3
,348165855,180903734178,61738393947,22289567504,4492742868,541002471923,159365676879,261806945800,66170288085,15963441,4
,405718146,223911499823,80168175223,30115134516,12866728530,646192337036,172932022094,286580108642,72152420043,17444886,5
,456321738,199047481910,69503269274,25591977508,8024474268,534338760375,143910217285,216942489624,54793319702,13258012,6
,400254153,227550665980,81724726526,30779516176,13573625730,515239868164,135943038940,297617614746,53180160522,12923711,7
,367884341,193064285790,66930853881,24504250550,6857862527,377064010620,106727737426,243925491333,38950698852,9558800,8
,369980818,211746873955,74943005353,27907819105,10491978066,374033065795,106512619018,269220764160,38720016479,9508333,9
,372373725,231074936771,83221436089,31422454217,14257449495,376406143188,106714813232,298548660278,38804443359,9523919,10
,347311418,247421999959,90220306850,34393449711,17442981377,363813827514,99958053588,317549468994,37885910034,9308748,11
,350761004,255913899975,93853852851,35935303650,19097097912,350700531005,92739059448,335403213500,47661651611,9003447,12
