application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
bt-mz.A,144811939,350947993615,101459913090,61398529011,2509252234,1434613571166,455699249267,1897622375488,322802551269,77914774,1
,143236617,358937483860,106272082531,61347745278,2750935567,1153946304321,265672286987,669546157836,108452484130,39945352,2
,143879972,363087150831,106850426570,61329865702,3941741918,942397903442,198063690185,478733291625,86040298461,28574222,3
,144182014,365728333744,107224229316,61326459796,4696491848,833451248168,160964080810,376101699829,70529846191,22423145,4
,144933751,364123120711,106991431222,61322615811,4238019021,734011886596,133643859863,296345169067,61205154418,17660892,5
,145283509,373741900135,108366620126,61323890472,6984658098,749886245727,126719985961,287163543701,63348556518,16741585,6
,195933509,365519700411,107190982106,61322840758,4634761122,606145584106,114886123657,321925552368,69908782958,13374035,7
,204534095,373621488504,108349503870,61323649009,6947859978,590609466552,111722152709,356187545776,68531433105,13076611,8
,209432429,378653331448,109070372737,61326902005,8383282891,556382644653,103995056152,382173263549,69474777221,12396956,9
,219619819,385001290976,109982260718,61332790390,10193761470,532450790405,101113372802,412304931640,67066253662,11970602,10
,220485216,391004194408,110839323394,61333096574,11907738335,507992767333,98899856567,440289581298,64753616333,11568467,11
,219735912,396596324483,111640446047,61334682014,13503785297,487802734375,96256134033,465267639160,62964126586,11202419,12
application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
lu-mz.A,149421726,169115586840,51828406158,21091664678,1749515594,1444781448364,467803436279,1005984649658,162031921386,60035975,1
,150954767,180734387787,56246074708,20989926552,2399480777,939002746582,285054092407,553629089355,108323852539,33025892,2
,151128774,182213169512,56549866064,20996346751,2801578685,680738281250,187932174682,366165176391,85994979858,21832984,3
,151384492,183667145004,57027357706,21008141748,3176873427,590483322143,146396530151,286089065551,71728942871,17036900,4
,151727211,184365601696,57016986230,21024024760,3374102839,516553314208,115008468627,225178298950,56506103515,13416632,5
,152144338,185681169367,57301874878,21042336501,3725912946,489257751464,100012039184,200176803588,48547882080,11678986,6
,243913724,191932689113,58903990561,21066694867,5419388275,522367233276,118393432617,298868515014,71936080932,12747562,7
,265572839,192041490925,58807735138,21081571302,5452455187,462102066040,104022552490,297839202880,62799575805,11216476,8
,310944948,193707214303,59362005476,21104004352,5881819602,442318542480,111886199951,319856643676,62287628173,10782074,9
,362884259,194727850676,59090706888,21120171083,6202297473,394022048950,91976684570,319907531738,60708740234,9614198,10
,371290460,198628945199,60086684984,21140410419,7256401394,394758621215,99934570312,346432785034,55045791625,9619758,11
,375572732,200567458868,60743811149,21161216894,7757172320,385167373657,96954986572,365820098876,54123153686,9384149,12
application,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,rapl:::PACKAGE_ENERGY:PACKAGE0,rapl:::DRAM_ENERGY:PACKAGE0,rapl:::PACKAGE_ENERGY:PACKAGE1,rapl:::DRAM_ENERGY:PACKAGE1,ElapsedUsecs,threads
sp-mz.A,302963541,171601524219,52339527516,23667157027,4390522578,906007797241,309276138305,1294893157958,222371383666,53947825,1
,303970543,181270160501,61749222913,22253316226,4618542495,814564193725,243743698120,489838729858,123557357788,29225760,2
,304525734,184763796698,62244510299,22250161842,5614758485,669152542114,181530838012,357113189697,89954345703,21293978,3
,304823043,186919206207,62552902045,22251779259,6227146512,596655746459,144077514648,284910186767,71731735229,16981834,4
,305105009,186118299830,62440862568,22256350564,5993577139,530961593627,117674087524,228199096679,57457427978,13598909,5
,304939298,192485200258,63355919567,22264238292,7807121550,538670074462,116903350830,218571273803,54351013183,12760877,6
,411674071,196887598471,63989935103,22270757931,9059736018,531197906494,116481750488,317574951171,71055694580,12800018,7
,423806450,199142779866,64317592061,22279112625,9697789420,494384429931,111698898315,315218292236,70781646728,11869965,8
,443303230,199817401194,64418099491,22285493508,9885427052,451470977783,106077041625,323691085815,62745086669,10839872,9
,475208193,208060906334,65602208120,22294050400,12234856171,458534423828,95394012451,369588165283,77425811767,11136662,10
,473175263,212738459220,66275972234,22302362492,13565373545,432930175781,108514801025,379035614013,59384231567,10510682,11
,472573610,219691706595,67275622437,22310423128,15546401340,423451461791,97936248779,407248184204,70981872558,10376651,12
